"UPPER(SUBSTRING(fb_primarykey,3,24))","fund_id"
"EF6426AD3BC5BC62C0A801E0","1092-1"
"9ECC201B3BC72DBCC0A80119","1093-1"
"66B51E873E57EAE7C0A80133","1093-2"
"67151E873E57EE27C0A80133","1093-3"
"724536343E603CDBC0A80132","1093-4"
"6CB555F342EBEF94C0A80132","1094-3"
"0A6602D654DCA125C0A86F98","1094-6"
"C32B46FB3BCB7C64C0A80118","1095-1"
"C8BF11213CDF04B1C0A801E0","1095-2"
"D09A00FD48872123C0A80133","1095-3"
"D22B031A409652BEC0A80132","1096-1"
"B11B2ABB480F6779C0A80133","1096-11"
"AB3A08AC482321A0C0A80132","1096-13"
"A4F83EC7496F4D66C0A80134","1096-15"
"BF260AAE417688B2C0A80134","1096-2"
"AAA428803BCBF23BC0A80118","1096-5"
"616F08C13D9D9314C0A80135","1096-6"
"20B4107C47FB782DC0A80132","1096-9"
"A2FC3B863BD0FD85C0A80118","1097-2"
"3C030D5E4321AEBFC0A80134","1097-3"
"D45B1BD23BE0661EC0A80119","1098-10"
"972B063A3BF9434BC0A801E1","1098-11"
"37D55BEB3C5E0556C0A801E1","1098-14"
"FA0F038E3DFD18C1C0A80132","1098-21"
"2DD12D2B3E3D9FAEC0A80132","1098-22"
"36C67313549D8153C0A86F98","1098-29"
"7D4F07F33BD25537C0A80119","1098-7"
"4F8251E63BD79AB8C0A801E0","1098-9"
"BC89010B52F967D8C0A86F99","1099-22"
"D0FF647454807D53C0A86F98","1099-25"
"A251263454B3E914C0A86F98","1099-26"
"A2044A73568D3E10C0A86FA6","1099-28"
"2CCC46783CFB8C76C0A801E2","1099-4"
"A8B32B543E25B2ECC0A80135","1099-7"
"D08938CD397AF978C0A801E1","110-1"
"D3CC43AF397B024BC0A801E1","110-2"
"F73718513C720F54C0A801E1","110-3"
"E7DC02D546A0A053C0A80133","110-4"
"1BDF200C3DC2CACAC0A80134","1100-14"
"1C26200C3DC2D08BC0A80134","1100-15"
"5ABC481F4702800DC0A80135","1100-19"
"BC0269BA470D5199C0A80132","1100-20"
"12917314473B4DC7C0A80133","1100-21"
"22E015E34863DC13C0A80132","1100-22"
"FEA851E0487CB540C0A80133","1100-23"
"80300337488A1B56C0A80132","1100-24"
"C670085348AC41D0C0A80133","1100-25"
